,M
31830,4395
31831,4142
31832,4265
31833,4224
31834,4222
31835,4179
31836,3894
31837,3653
31838,3530
31839,3421
31840,3108
31841,2876
31842,2603
31843,2248
31844,2297
31845,2100
31846,1994
31847,1973
31848,1897
31849,2075
31850,2071
31851,1792
31852,1227
31853,1690
31854,2574
31855,2535
31856,2502
31857,2610
31858,2717
31859,3025
31860,3028
31861,3120
31862,3418
31863,3859
31864,4254
31865,4269
31866,4228
31867,4484
31868,4657
31869,4991
31870,5696
31871,6231
31872,6680
31873,7035
31874,7232
31875,7607
31876,7851
31877,7752
31878,8134
31879,9832
31880,13332
31881,17126
31882,19281
31883,19325
31884,17627
31885,15000
31886,11919
31887,8770
31888,5530
31889,2288
31890,-863
31891,-3883
31892,-6782
31893,-9761
31894,-13040
31895,-17230
31896,-23495
31897,-31367
31898,-32768
31899,-32768
31900,-32767
31901,-32766
31902,-32767
31903,-32767
31904,-32766
31905,-32768
31906,-32764
31907,-32768
31908,-32715
31909,-31911
31910,-28844
31911,-24514
31912,-20523
31913,-15627
31914,-10074
31915,-4491
31916,1363
31917,6792
31918,12076
31919,17278
31920,22154
31921,26325
31922,29465
31923,31727
31924,32640
31925,32548
31926,32423
31927,32193
31928,30960
31929,28910
31930,26757
31931,24725
31932,22773
31933,20860
31934,19356
31935,17939
31936,16641
31937,15505
31938,14351
31939,13514
31940,12448
31941,11549
31942,10199
31943,8847
31944,7862
31945,6322
31946,4810
31947,3394
31948,1751
31949,544
31950,-326
31951,-1576
31952,-2764
31953,-3487
31954,-4101
31955,-4760
31956,-4865
31957,-5159
31958,-5653
31959,-6117
31960,-7210
31961,-8246
31962,-9341
31963,-10391
31964,-11055
31965,-11732
31966,-12290
31967,-12813
31968,-13302
31969,-13470
31970,-13567
31971,-13582
31972,-13467
31973,-12635
31974,-12066
31975,-11511
31976,-10207
31977,-9282
31978,-8255
31979,-6902
31980,-5832
31981,-4880
31982,-3626
31983,-2460
31984,-1381
31985,-138
31986,975
31987,2164
31988,3166
31989,4119
31990,4923
31991,5514
31992,6102
31993,6798
31994,7705
31995,8057
31996,7383
31997,7166
31998,8176
31999,9192
32000,9040
32001,7671
32002,5885
32003,4290
32004,3400
32005,3723
32006,5456
32007,7730
32008,9449
32009,9667
32010,8317
32011,6422
32012,4766
32013,3492
32014,2430
32015,1737
32016,1163
32017,647
32018,326
32019,165
32020,-291
32021,-855
32022,-1320
32023,-1841
32024,-2425
32025,-2870
32026,-2983
32027,-3406
32028,-3598
32029,-3567
32030,-3528
32031,-3027
32032,-2780
32033,-2698
32034,-2548
32035,-2365
32036,-2124
32037,-1775
32038,-1890
32039,-2269
32040,-2328
32041,-2102
32042,-1886
32043,-1782
32044,-1881
32045,-1892
32046,-1611
32047,-1230
32048,-968
32049,-706
32050,-528
32051,-338
32052,-130
32053,-40
32054,-21
32055,-477
32056,-643
32057,-719
32058,-890
32059,-956
32060,-1381
32061,-1668
32062,-1938
32063,-2091
32064,-2180
32065,-2593
32066,-2454
32067,-2344
32068,-2553
32069,-2607
32070,-2803
32071,-2881
32072,-2608
32073,-2317
32074,-2137
32075,-2130
32076,-2163
32077,-1851
32078,-1430
32079,-1184
32080,-962
32081,-523
32082,-250
32083,90
32084,531
32085,676
32086,1026
32087,904
32088,717
32089,940
32090,832
32091,784
32092,909
32093,820
32094,695
32095,625
32096,742
32097,956
32098,1159
32099,1207
32100,1137
32101,1042
32102,1032
32103,1203
32104,1447
32105,1392
32106,1278
32107,1485
32108,1431
32109,1289
32110,1191
32111,1388
32112,1596
32113,1424
32114,1293
32115,1017
32116,915
32117,1135
32118,1061
32119,968
32120,800
32121,750
32122,784
32123,840
32124,853
32125,594
32126,529
32127,624
32128,700
32129,539
32130,331
32131,420
32132,426
32133,300
32134,102
32135,153
32136,331
32137,457
32138,284
32139,56
32140,155
32141,33
32142,-28
32143,190
32144,-26
32145,-149
32146,-198
32147,-244
32148,-361
32149,-748
32150,-829
32151,-977
32152,-1022
32153,-1072
32154,-1507
32155,-1553
32156,-1424
32157,-1512
32158,-1793
32159,-2290
32160,-2941
32161,-3454
32162,-3477
32163,-3350
32164,-3056
32165,-2254
32166,-1571
32167,-1216
32168,-968
32169,-966
32170,-892
32171,-826
32172,-902
32173,-971
32174,-1065
32175,-1062
32176,-953
32177,-836
32178,-644
32179,-597
32180,-540
32181,-315
32182,-582
32183,-752
32184,-804
32185,-1014
32186,-1059
32187,-1003
32188,-888
32189,-945
32190,-805
32191,-433
32192,-182
32193,-11
32194,232
32195,307
32196,427
32197,591
32198,662
32199,747
32200,595
32201,718
32202,795
32203,741
32204,769
32205,699
32206,900
32207,1083
32208,1076
32209,1447
32210,1545
32211,1375
32212,1585
32213,1782
32214,1753
32215,1511
32216,1461
32217,1421
32218,1085
32219,904
32220,747
32221,603
32222,409
32223,228
32224,68
32225,-238
32226,-386
32227,-7
32228,251
32229,103
32230,-87
32231,-121
32232,207
32233,533
32234,669
32235,760
32236,829
32237,766
32238,741
32239,704
32240,381
32241,236
32242,253
32243,225
32244,201
32245,-49
32246,-127
32247,-200
32248,-254
32249,-118
32250,-145
32251,-201
32252,-202
32253,-93
32254,-81
32255,-425
32256,-469
32257,-423
32258,-653
32259,-802
32260,-928
32261,-990
32262,-855
32263,-985
32264,-878
32265,-832
32266,-667
32267,-486
32268,-582
32269,-628
32270,-611
32271,-508
32272,-603
32273,-632
32274,-582
32275,-549
32276,-305
32277,-378
32278,-542
32279,-470
32280,-438
32281,-162
32282,121
32283,135
32284,199
32285,320
32286,546
32287,564
32288,617
32289,528
32290,342
32291,512
32292,583
32293,519
32294,763
32295,692
32296,516
32297,562
32298,462
32299,208
32300,18
32301,-85
32302,-21
32303,-98
32304,-128
32305,-88
32306,-184
32307,-252
32308,-331
32309,-373
32310,-369
32311,-40
32312,257
32313,217
32314,106
32315,169
32316,267
32317,273
32318,413
32319,440
32320,419
32321,384
32322,498
32323,528
32324,339
32325,275
32326,379
32327,342
32328,511
32329,595
32330,205
32331,-468
32332,-1584
32333,-2199
32334,-2123
32335,-1405
32336,-138
32337,878
32338,1628
32339,1910
32340,1661
32341,1420
32342,1068
32343,708
32344,564
32345,156
32346,-61
32347,-154
32348,-115
32349,-131
32350,-618
32351,-761
32352,-615
32353,-788
32354,-1046
32355,-1419
32356,-1601
32357,-1611
32358,-1527
32359,-1387
32360,-1331
32361,-1171
32362,-862
32363,-735
32364,-891
32365,-831
32366,-675
32367,-617
32368,-731
32369,-859
32370,-738
32371,-629
32372,-424
32373,-414
32374,-473
32375,-488
32376,-268
32377,27
32378,89
32379,96
32380,-50
32381,222
32382,271
32383,-59
32384,-246
32385,-374
32386,-381
32387,-484
32388,-683
32389,-708
32390,-945
32391,-915
32392,-971
32393,-1244
32394,-1203
32395,-1159
32396,-1068
32397,-1060
32398,-1242
32399,-1312
32400,-1147
32401,-1139
32402,-1077
32403,-932
32404,-803
32405,-647
32406,-655
32407,-588
32408,-363
32409,86
32410,420
32411,427
32412,557
32413,678
32414,743
32415,880
32416,721
32417,569
32418,512
32419,457
32420,356
32421,304
32422,232
32423,0
32424,-50
32425,-66
32426,-301
32427,-427
32428,-421
32429,-442
32430,-452
32431,-277
32432,-267
32433,-468
32434,-570
32435,-623
32436,-650
32437,-655
32438,-781
32439,-771
32440,-1045
32441,-1222
32442,-1328
32443,-1276
32444,-1045
32445,-1301
32446,-1275
32447,-1151
32448,-1214
32449,-873
32450,-856
32451,-842
32452,-743
32453,-895
32454,-826
32455,-753
32456,-853
32457,-867
32458,-834
32459,-822
32460,-863
32461,-983
32462,-955
32463,-657
32464,-549
32465,-572
32466,-518
32467,-550
32468,-514
32469,-421
32470,-681
32471,-543
32472,-192
32473,-403
32474,-467
32475,-586
32476,-507
32477,-352
32478,-354
32479,-312
32480,-310
32481,-107
32482,75
32483,214
32484,503
32485,294
32486,279
32487,540
32488,473
32489,432
32490,776
32491,892
32492,786
32493,647
32494,767
32495,784
32496,818
32497,1205
32498,1468
32499,1647
32500,1779
32501,2232
32502,2653
32503,2544
32504,2614
32505,2657
32506,2488
32507,2441
32508,2512
32509,2257
32510,1979
32511,1953
32512,2101
32513,2271
32514,2171
32515,2289
32516,2561
32517,2631
32518,2688
32519,2758
32520,2416
32521,2259
32522,2423
32523,1705
32524,1536
32525,1599
32526,986
32527,720
32528,629
32529,747
32530,669
32531,-40
32532,-100
32533,-32
32534,-269
32535,-358
32536,-341
32537,-309
32538,-181
32539,-103
32540,-433
32541,-470
32542,-478
32543,-559
32544,-629
32545,-643
32546,-587
32547,-716
32548,-673
32549,-574
32550,-769
32551,-987
32552,-779
32553,-803
32554,-805
32555,-809
32556,-871
32557,-752
32558,-730
32559,-568
32560,-441
32561,-635
32562,-317
32563,19
32564,234
32565,479
32566,519
32567,558
32568,875
32569,963
32570,828
32571,745
32572,708
32573,709
32574,456
32575,301
32576,125
32577,246
32578,412
32579,599
32580,620
32581,227
32582,314
32583,627
32584,606
32585,823
32586,880
32587,825
32588,1066
32589,956
32590,567
32591,725
32592,765
32593,763
32594,472
32595,-210
32596,-101
32597,-56
32598,-307
32599,-460
32600,-681
32601,-745
32602,-683
32603,-865
32604,-947
32605,-1136
32606,-907
32607,-647
32608,-712
32609,-577
32610,-597
32611,-681
32612,-501
32613,-415
32614,-725
32615,-1057
32616,-1079
32617,-1198
32618,-1165
32619,-1245
32620,-1666
32621,-1465
32622,-1297
32623,-1319
32624,-1169
32625,-1128
32626,-930
32627,-781
32628,-885
32629,-638
32630,-642
32631,-673
32632,-476
32633,-534
32634,-714
32635,-965
32636,-826
32637,-808
32638,-822
32639,-592
32640,-655
32641,-463
32642,-235
32643,-199
32644,-122
32645,-155
32646,-96
32647,91
32648,-160
32649,-73
32650,-162
32651,-192
32652,73
32653,-235
32654,-122
32655,-150
32656,-233
32657,-31
32658,201
32659,-114
32660,-133
32661,163
32662,-92
32663,81
32664,238
32665,108
32666,458
32667,378
32668,282
32669,251
32670,-47
32671,-218
32672,-441
32673,-503
32674,-721
32675,-837
32676,-761
32677,-569
32678,-486
32679,-517
32680,-276
32681,-262
32682,-272
32683,-172
32684,-132
32685,-219
32686,-292
32687,-405
32688,-666
32689,-1149
32690,-1366
32691,-1092
32692,-1173
32693,-1322
32694,-1354
32695,-1324
32696,-1241
32697,-1019
32698,-872
32699,-893
32700,-852
32701,-485
32702,-402
32703,-454
32704,-530
32705,-575
32706,-623
32707,-697
32708,-668
32709,-724
32710,-943
32711,-1018
32712,-857
32713,-731
32714,-729
32715,-830
32716,-508
32717,-408
32718,-541
32719,-314
32720,-141
32721,-76
32722,7
32723,-30
32724,-133
32725,-150
32726,-89
32727,-28
32728,-361
32729,-457
32730,-602
32731,-705
32732,-543
32733,-571
32734,-609
32735,-677
32736,-870
32737,-921
32738,-735
32739,-722
32740,-723
32741,-614
32742,-659
32743,-719
32744,-644
32745,-514
32746,-487
32747,-705
32748,-801
32749,-776
32750,-688
32751,-490
32752,-645
32753,-832
32754,-834
32755,-889
32756,-923
32757,-718
32758,-829
32759,-843
32760,-568
32761,-741
32762,-850
32763,-572
32764,-398
32765,-374
32766,-151
32767,26
32768,-146
32769,-71
32770,68
32771,316
32772,356
32773,400
32774,481
32775,295
32776,488
32777,582
32778,752
32779,865
32780,635
32781,831
32782,679
32783,627
32784,627
32785,534
32786,593
32787,596
32788,666
32789,766
32790,737
32791,650
32792,636
32793,977
32794,1159
32795,1101
32796,1440
32797,1182
32798,987
32799,1276
32800,1086
32801,1136
32802,1088
32803,802
32804,887
32805,881
32806,843
32807,844
32808,669
32809,592
32810,332
32811,306
32812,304
32813,398
32814,629
32815,311
32816,300
32817,575
32818,465
32819,532
32820,582
32821,750
32822,804
32823,692
32824,787
32825,457
32826,203
32827,292
32828,142
32829,240
32830,252
32831,0
32832,-30
32833,-5
32834,-190
32835,-189
32836,-46
32837,156
32838,313
32839,198
32840,29
32841,-114
32842,-52
32843,-78
32844,23
32845,-68
32846,-362
32847,-307
32848,-427
32849,-857
32850,-1114
32851,-974
32852,-929
32853,-1019
32854,-760
32855,-645
32856,-443
32857,-238
32858,-275
32859,-231
32860,-43
32861,414
32862,594
32863,548
32864,547
32865,523
32866,867
32867,1179
32868,1091
32869,1117
32870,1086
32871,1189
32872,1634
32873,1715
32874,1842
32875,1846
32876,1698
32877,1891
32878,1891
32879,1721
32880,1679
32881,1573
32882,1426
32883,1252
32884,959
32885,851
32886,845
32887,872
32888,809
32889,699
32890,564
32891,257
32892,292
32893,311
32894,180
32895,449
32896,163
32897,-235
32898,-206
32899,-460
32900,-618
32901,-680
32902,-813
32903,-1078
32904,-1407
32905,-1553
32906,-1510
32907,-1733
32908,-1882
32909,-1724
32910,-1405
32911,-546
32912,-141
32913,-477
32914,-1051
32915,-1446
32916,-1363
32917,-1801
32918,-2070
32919,-1604
32920,-1408
32921,-1789
32922,-2168
32923,-2302
32924,-2278
32925,-2056
32926,-1836
32927,-1658
32928,-1537
32929,-1450
32930,-1372
32931,-1129
32932,-880
32933,-683
32934,-337
32935,-84
32936,35
32937,99
32938,107
32939,179
32940,205
32941,90
32942,381
32943,703
32944,679
32945,717
32946,811
32947,729
32948,1011
32949,1378
32950,1504
32951,1642
32952,1805
32953,1796
32954,2058
32955,2259
32956,2266
32957,2414
32958,2341
32959,2533
32960,2549
32961,2563
32962,2738
32963,2738
32964,2775
32965,2872
32966,2782
32967,2919
32968,3020
32969,2758
32970,2684
32971,2734
32972,2608
32973,2312
32974,2237
32975,2027
32976,1822
32977,1418
32978,1186
32979,1032
32980,859
32981,808
32982,593
32983,518
32984,116
32985,-425
32986,-621
32987,-894
32988,-1361
32989,-1793
32990,-2303
32991,-3021
32992,-3606
32993,-4196
32994,-4778
32995,-5104
32996,-5568
32997,-6227
32998,-6627
32999,-7049
33000,-7608
33001,-7781
33002,-8004
33003,-8319
33004,-8674
33005,-9062
33006,-9476
33007,-9769
33008,-9999
33009,-10346
33010,-10585
33011,-10696
33012,-10600
33013,-10546
33014,-10537
33015,-10195
33016,-9869
33017,-9480
33018,-8978
33019,-8585
33020,-8135
33021,-7763
33022,-7307
33023,-7134
33024,-6926
33025,-6609
33026,-6599
33027,-6268
33028,-5898
33029,-5503
33030,-5157
33031,-5199
33032,-5014
33033,-4570
33034,-4224
33035,-4020
33036,-3932
33037,-3844
33038,-3668
33039,-3503
33040,-3476
33041,-3455
33042,-3615
33043,-3909
33044,-4488
33045,-5346
33046,-5880
33047,-5673
33048,-4910
33049,-4132
33050,-3325
33051,-1644
33052,1229
33053,4594
33054,8540
33055,12937
33056,17686
33057,22231
33058,26310
33059,29987
33060,32161
33061,32699
33062,32451
33063,32420
33064,32451
33065,32360
33066,32362
33067,32319
33068,32283
33069,32263
33070,32219
33071,32153
33072,31279
33073,27310
33074,20788
33075,14775
33076,8445
33077,1982
33078,-3964
33079,-9606
33080,-14780
33081,-19473
33082,-23468
33083,-27010
33084,-29541
33085,-31389
33086,-32611
33087,-32765
33088,-32743
33089,-32347
33090,-30976
33091,-29270
33092,-27521
33093,-25389
33094,-23528
33095,-21910
33096,-20201
33097,-18856
33098,-17447
33099,-16038
33100,-14553
33101,-12826
33102,-11100
33103,-9381
33104,-7666
33105,-5368
33106,-2611
33107,191
33108,3027
33109,6006
33110,9220
33111,12534
33112,15793
33113,18774
33114,21280
33115,23493
33116,25157
33117,26247
33118,26851
33119,26825
33120,26543
33121,25817
33122,24043
33123,21910
33124,19539
33125,16929
33126,13883
33127,10230
33128,6744
33129,3267
33130,-343
33131,-3609
33132,-6941
33133,-10032
33134,-12207
33135,-13690
33136,-14346
33137,-14345
33138,-14093
33139,-13457
33140,-12530
33141,-11707
33142,-10356
33143,-8589
33144,-6878
33145,-5118
33146,-3500
33147,-1774
33148,51
33149,1595
33150,3503
33151,5623
33152,7692
33153,9894
33154,12343
33155,14467
33156,16442
33157,18437
33158,20106
33159,21993
33160,23635
33161,24637
33162,24961
33163,24612
33164,24391
33165,23466
33166,20693
33167,17576
33168,14449
33169,10691
33170,6704
33171,2028
33172,-3066
33173,-7721
33174,-11968
33175,-15767
33176,-19193
33177,-22294
33178,-25164
33179,-27620
33180,-29436
33181,-30857
33182,-31755
33183,-31976
33184,-32014
33185,-32002
33186,-31215
33187,-30218
33188,-28952
33189,-27322
33190,-25480
33191,-23492
33192,-21365
33193,-19222
33194,-16702
33195,-14317
33196,-11689
33197,-8526
33198,-5583
33199,-2557
33200,44
33201,2861
33202,5821
33203,8170
33204,10511
33205,12783
33206,14605
33207,16062
33208,17267
33209,17976
33210,18266
33211,18478
33212,18222
33213,17356
33214,16132
33215,14566
33216,13074
33217,11301
33218,9102
33219,6824
33220,4309
33221,1902
33222,-281
33223,-2428
33224,-4359
33225,-6340
33226,-8208
33227,-9807
33228,-10557
33229,-10861
33230,-11538
33231,-11490
33232,-10937
33233,-10334
33234,-9468
33235,-8410
33236,-7133
33237,-5952
33238,-4870
33239,-3773
33240,-2272
33241,-445
33242,1182
33243,2642
33244,4544
33245,6437
33246,7806
33247,8830
33248,9629
33249,10288
33250,10767
33251,10983
33252,11027
33253,10590
33254,9991
33255,9070
33256,8184
33257,7156
33258,5823
33259,4846
33260,3897
33261,2792
33262,793
33263,-1466
33264,-1572
33265,-1056
33266,-2335
33267,-3958
33268,-4678
33269,-4882
33270,-5419
33271,-5944
33272,-6073
33273,-6358
33274,-6597
33275,-6760
33276,-6727
33277,-6578
33278,-6384
33279,-5945
33280,-5561
33281,-5001
33282,-4402
33283,-3953
33284,-3373
33285,-2666
33286,-2052
33287,-1757
33288,-1397
33289,-748
33290,269
33291,1421
33292,2053
33293,2304
33294,2627
33295,3305
33296,4100
33297,4632
33298,4950
33299,5090
33300,5030
33301,5246
33302,5402
33303,5356
33304,5452
33305,5175
33306,4499
33307,4371
33308,3948
33309,3332
33310,2932
33311,2023
33312,1435
33313,1242
33314,1010
33315,784
33316,481
33317,488
33318,453
33319,737
33320,976
33321,1502
33322,2374
33323,2521
33324,2763
33325,3199
33326,3709
33327,3931
33328,3736
33329,3678
33330,3539
33331,3277
33332,3233
33333,3439
33334,3091
33335,2663
33336,2453
33337,2348
33338,2323
33339,2288
33340,2290
33341,2063
33342,1820
33343,1812
33344,1775
33345,1781
33346,1895
33347,1616
33348,1205
33349,1007
33350,656
33351,587
33352,313
33353,133
33354,-70
33355,-250
33356,-309
33357,-656
33358,-863
33359,-800
33360,-924
33361,-660
33362,-476
33363,-701
33364,-914
33365,-1176
33366,-1466
33367,-1735
33368,-1879
33369,-1918
33370,-2081
33371,-2499
33372,-2779
33373,-2975
33374,-3027
33375,-3138
33376,-3046
33377,-2680
33378,-2706
33379,-2600
33380,-2653
33381,-2771
33382,-2601
33383,-2527
33384,-2551
33385,-2697
33386,-2619
33387,-2451
33388,-2229
33389,-2335
33390,-2282
33391,-1885
33392,-1882
33393,-1734
33394,-1644
33395,-1826
33396,-1972
33397,-2184
33398,-2238
33399,-2488
33400,-2624
33401,-2706
33402,-2980
33403,-3081
33404,-3161
33405,-3179
33406,-2769
33407,-2687
33408,-2541
33409,-2004
33410,-1947
33411,-1588
33412,-1356
33413,-1183
33414,-732
33415,-804
33416,-552
33417,-505
33418,-687
33419,-560
33420,-746
33421,-921
33422,-1207
33423,-1470
33424,-1409
33425,-1440
33426,-1609
33427,-1557
33428,-1535
33429,-1604
33430,-1501
33431,-1140
33432,-767
33433,-770
33434,-416
33435,-196
33436,-119
33437,189
33438,372
33439,497
33440,515
33441,425
33442,615
33443,514
33444,484
33445,330
33446,59
33447,405
33448,420
33449,19
33450,-163
33451,-218
33452,72
33453,492
33454,615
33455,573
33456,834
33457,942
33458,999
33459,1131
33460,1262
33461,1347
33462,1285
33463,1446
33464,1296
33465,985
33466,951
33467,833
33468,663
33469,328
33470,84
33471,138
33472,55
33473,-138
33474,-375
33475,-396
33476,-662
33477,-849
33478,-541
33479,-534
33480,-712
33481,-739
33482,-508
33483,-190
33484,-101
33485,135
33486,421
33487,638
33488,917
33489,1439
33490,1684
33491,1865
33492,2111
33493,2336
33494,2554
33495,2484
33496,2426
33497,2281
33498,2192
33499,2290
33500,1843
33501,1544
33502,1355
33503,1182
33504,1095
33505,690
33506,781
33507,705
33508,484
33509,316
33510,11
33511,-196
33512,-301
33513,-244
33514,-343
33515,-664
33516,-781
33517,-781
33518,-841
33519,-708
33520,-868
33521,-786
33522,-908
33523,-1267
33524,-1300
33525,-1375
33526,-1218
33527,-1208
33528,-1320
33529,-1158
33530,-1147
33531,-1282
33532,-1212
33533,-1014
33534,-1170
33535,-1252
33536,-1044
33537,-1082
33538,-1105
33539,-958
33540,-885
33541,-732
33542,-597
33543,-338
33544,-65
33545,192
33546,318
33547,706
33548,965
33549,901
33550,809
33551,841
33552,936
33553,689
33554,526
33555,405
33556,150
33557,114
33558,168
33559,0
33560,-119
33561,-139
33562,39
33563,211
33564,109
33565,-89
33566,59
33567,202
33568,43
33569,58
33570,15
33571,-194
33572,-170
33573,-77
33574,-288
33575,-243
33576,-307
33577,-466
33578,-545
33579,-663
33580,-559
33581,-494
33582,-241
33583,-358
33584,-456
33585,-566
33586,-671
33587,-357
33588,-508
33589,-693
33590,-470
33591,-195
33592,-128
33593,-3
33594,314
33595,674
33596,929
33597,1221
33598,1651
33599,1741
33600,1886
33601,2021
33602,2036
33603,1945
33604,1821
33605,2008
33606,1962
33607,1754
33608,1512
33609,1399
33610,1432
33611,1024
33612,849
33613,808
33614,811
33615,724
33616,542
33617,508
33618,393
33619,172
33620,-94
33621,28
33622,-160
33623,-705
33624,-795
33625,-980
33626,-1275
33627,-1265
33628,-863
33629,-820
33630,-799
33631,-718
33632,-724
33633,-523
33634,-265
33635,-161
33636,91
33637,255
33638,320
33639,485
33640,373
33641,327
33642,516
33643,460
33644,285
33645,287
33646,311
33647,407
33648,613
33649,759
33650,610
33651,630
33652,621
33653,522
33654,494
33655,142
33656,101
33657,130
33658,-15
33659,-113
33660,-130
33661,-52
33662,-249
33663,-301
33664,-177
33665,-300
33666,-345
33667,-295
33668,-311
33669,-469
33670,-639
33671,-769
33672,-958
33673,-1201
33674,-1347
33675,-1494
33676,-1510
33677,-1573
33678,-1735
33679,-1578
33680,-1663
33681,-1551
33682,-1250
33683,-1106
33684,-997
33685,-882
33686,-613
33687,-493
33688,-325
33689,-57
33690,299
33691,619
33692,502
33693,475
33694,504
33695,389
33696,666
33697,1128
33698,1076
33699,979
33700,1071
33701,1250
33702,1477
33703,1385
33704,1518
33705,1691
33706,1874
33707,2030
33708,2102
33709,1927
33710,1633
33711,1590
33712,1726
33713,1803
33714,1715
33715,1441
33716,1485
33717,1490
33718,1197
33719,1066
33720,1090
33721,1240
33722,1325
33723,1442
33724,1491
33725,1448
33726,1483
33727,1465
33728,1301
33729,1414
33730,1362
33731,1017
33732,702
33733,534
33734,507
33735,181
33736,50
33737,163
33738,-21
33739,-61
33740,51
33741,-46
33742,-286
33743,-568
33744,-655
33745,-453
33746,-654
33747,-943
33748,-948
33749,-941
33750,-1095
33751,-1031
33752,-899
33753,-1090
33754,-914
33755,-769
33756,-814
33757,-458
33758,-246
33759,-30
33760,171
33761,246
33762,314
33763,491
33764,485
33765,315
33766,168
33767,63
33768,-28
33769,-133
33770,-128
33771,-195
33772,-206
33773,-76
33774,97
33775,64
33776,-36
33777,95
33778,145
33779,86
33780,-48
33781,-163
33782,-417
33783,-599
33784,-626
33785,-733
33786,-706
33787,-814
33788,-924
33789,-1035
33790,-1052
33791,-857
33792,-873
33793,-644
33794,-674
33795,-868
33796,-787
33797,-834
33798,-830
33799,-674
33800,-918
33801,-1203
33802,-1215
33803,-1384
33804,-1480
33805,-1527
33806,-1426
33807,-1430
33808,-1649
33809,-1810
33810,-1741
33811,-1424
33812,-1032
33813,-837
33814,-794
33815,-794
33816,-707
33817,-141
33818,25
33819,-268
33820,-106
33821,-19
33822,-95
33823,-186
33824,-267
33825,-323
33826,-28
33827,143
33828,4
33829,3
33830,145
33831,283
33832,289
33833,182
33834,60
33835,229
33836,625
33837,512
33838,440
33839,370
33840,365
33841,597
33842,547
33843,613
33844,770
33845,819
33846,1032
33847,994
33848,881
33849,914
33850,1096
33851,1219
33852,1050
33853,920
33854,992
33855,745
33856,599
33857,557
33858,411
33859,493
33860,319
33861,1
33862,-143
33863,-249
33864,25
33865,51
33866,-141
33867,31
33868,225
33869,404
33870,344
33871,309
33872,583
33873,452
33874,433
33875,473
33876,332
33877,311
33878,415
33879,752
33880,775
33881,779
33882,816
33883,899
33884,1045
33885,1000
33886,1074
33887,1020
33888,605
33889,566
33890,617
33891,438
33892,128
33893,81
33894,147
33895,-51
33896,47
33897,-29
33898,-160
33899,-72
33900,-216
33901,-164
33902,-240
33903,-391
33904,-464
33905,-418
33906,-463
33907,-391
33908,-396
33909,-588
33910,-713
33911,-535
33912,-245
33913,-65
33914,-137
33915,-222
33916,-240
33917,-104
33918,-21
33919,-146
33920,-193
33921,-385
33922,-464
33923,-396
33924,-675
33925,-708
33926,-829
33927,-833
33928,-695
33929,-680
33930,-696
33931,-633
33932,-297
33933,-153
33934,-217
33935,-411
33936,-299
33937,18
33938,134
33939,98
33940,18
33941,94
33942,-1
33943,-147
33944,-8
33945,17
33946,-86
33947,-165
33948,-153
33949,-163
33950,-153
33951,-88
33952,147
33953,130
33954,74
33955,153
33956,251
33957,209
33958,119
33959,274
33960,236
33961,118
33962,98
33963,-79
33964,-315
33965,-498
33966,-375
33967,-375
33968,-280
33969,-451
33970,-694
33971,-650
33972,-527
33973,-303
33974,-227
33975,-145
33976,-239
33977,-490
33978,-356
33979,-93
33980,-158
33981,-279
33982,-213
33983,-332
33984,-367
33985,-398
33986,-471
33987,-456
33988,-686
33989,-621
33990,-627
33991,-692
33992,-545
33993,-234
33994,-169
33995,-160
33996,20
33997,-110
33998,76
33999,389
34000,383
34001,397
34002,507
34003,657
34004,708
34005,712
34006,937
34007,1197
34008,1248
34009,1320
34010,1191
34011,1280
34012,1301
34013,1297
34014,1435
34015,1042
34016,858
34017,926
34018,1004
34019,875
34020,449
34021,529
34022,790
34023,839
34024,821
34025,360
34026,352
34027,501
34028,480
34029,484
34030,107
34031,20
34032,178
34033,367
34034,272
34035,-94
34036,-1
34037,151
34038,321
34039,519
34040,560
34041,671
34042,768
34043,980
34044,1263
34045,1136
34046,1498
34047,2180
34048,2291
34049,2551
34050,2856
34051,3109
34052,3507
34053,3777
34054,3848
34055,4098
34056,4414
34057,4578
34058,4776
34059,5475
34060,6148
34061,6829
34062,7028
34063,7171
34064,7794
34065,8144
34066,8340
34067,9542
34068,12221
34069,15914
34070,19636
34071,22639
34072,24179
34073,23732
34074,21921
34075,19206
34076,15400
34077,10610
34078,5079
34079,-1062
34080,-8003
34081,-16369
34082,-25908
34083,-32768
34084,-32704
34085,-32767
34086,-32767
34087,-32765
34088,-32767
34089,-32763
34090,-32767
34091,-32766
34092,-32768
34093,-32764
34094,-32762
34095,-32444
34096,-30733
34097,-27709
34098,-25120
34099,-22555
34100,-19549
34101,-15603
34102,-11149
34103,-6279
34104,-1398
34105,3453
34106,8574
34107,13320
34108,17899
34109,21775
34110,24891
34111,27514
34112,29521
34113,30861
34114,31131
34115,30661
34116,29639
34117,28097
34118,26535
34119,24788
34120,23114
34121,21946
34122,20902
34123,19950
34124,19239
34125,18393
34126,17731
34127,17336
34128,16772
34129,16009
34130,14771
34131,13658
34132,12593
34133,11102
34134,9669
34135,7704
34136,5578
34137,3712
34138,1630
34139,-441
34140,-2580
34141,-4467
34142,-6087
34143,-7612
34144,-9063
34145,-10159
34146,-11204
34147,-12104
34148,-12854
34149,-13692
34150,-14419
34151,-14960
34152,-15350
34153,-15467
34154,-15635
34155,-15680
34156,-14974
34157,-14436
34158,-13935
34159,-12924
34160,-11909
34161,-10442
34162,-8651
