,M
1151,-384
1152,-246
1153,-293
1154,-353
1155,-119
1156,-114
1157,143
1158,162
1159,109
1160,490
1161,411
1162,515
1163,623
1164,507
1165,497
1166,373
1167,248
1168,168
1169,-288
1170,-382
1171,-388
1172,-377
1173,-253
1174,-594
1175,-515
1176,-416
1177,-348
1178,-151
1179,-367
1180,-205
1181,227
1182,370
1183,532
1184,718
1185,859
1186,953
1187,1140
1188,1490
1189,1424
1190,1402
1191,1440
1192,1179
1193,1173
1194,841
1195,451
1196,486
1197,248
1198,72
1199,-27
1200,-45
1201,99
1202,-111
1203,-95
1204,-38
1205,-112
1206,37
1207,165
1208,66
1209,-214
1210,-302
1211,-242
1212,-124
1213,-45
1214,72
1215,223
1216,251
1217,272
1218,213
1219,206
1220,251
1221,293
1222,290
1223,249
1224,129
1225,70
1226,225
1227,114
1228,-124
1229,-165
1230,-81
1231,-53
1232,23
1233,30
1234,-124
1235,-146
1236,-126
1237,-35
1238,108
1239,-19
1240,-256
1241,-376
1242,-212
1243,-238
1244,-181
1245,-71
1246,-118
1247,-83
1248,-223
1249,-480
1250,-561
1251,-561
1252,-805
1253,-1041
1254,-1148
1255,-1208
1256,-1198
1257,-1191
1258,-1047
1259,-1027
1260,-1009
1261,-879
1262,-736
1263,-639
1264,-653
1265,-494
1266,-108
1267,-23
1268,-33
1269,113
1270,90
1271,62
1272,139
1273,100
1274,219
1275,429
1276,768
1277,970
1278,902
1279,879
1280,737
1281,689
1282,495
1283,120
1284,-42
1285,-156
1286,-136
1287,-372
1288,-414
1289,-735
1290,-856
1291,-671
1292,-957
1293,-857
1294,-980
1295,-986
1296,-887
1297,-907
1298,-750
1299,-819
1300,-791
1301,-683
1302,-647
1303,-528
1304,-588
1305,-668
1306,-690
1307,-766
1308,-716
1309,-633
1310,-548
1311,-339
1312,-479
1313,-603
1314,-568
1315,-481
1316,-230
1317,-192
1318,-136
1319,43
1320,368
1321,815
1322,1044
1323,1373
1324,1740
1325,1852
1326,2197
1327,2503
1328,2354
1329,2359
1330,2381
1331,2334
1332,1999
1333,1689
1334,1623
1335,1655
1336,1743
1337,1612
1338,1440
1339,1356
1340,1274
1341,1328
1342,1521
1343,1547
1344,1360
1345,1308
1346,1363
1347,1424
1348,1415
1349,1203
1350,1193
1351,1155
1352,793
1353,720
1354,638
1355,375
1356,410
1357,709
1358,1010
1359,1362
1360,1682
1361,1694
1362,1754
1363,1995
1364,2408
1365,2750
1366,2552
1367,2464
1368,2340
1369,1919
1370,1633
1371,1459
1372,1238
1373,834
1374,505
1375,197
